domain,page,document,size [KB],status_code
http://phd.epfl.ch/,http://phd.epfl.ch/page-103842-en.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_6.jpg,1389.173,
http://phd.epfl.ch/,http://phd.epfl.ch/page-103842-en.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_11.jpg,1416.691,
http://phd.epfl.ch/,http://phd.epfl.ch/page-103842-en.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_14.jpg,565.205,
http://phd.epfl.ch/,http://phd.epfl.ch/page-103842-en.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_7.jpg,350.914,
http://phd.epfl.ch/,http://phd.epfl.ch/page-103842-en.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_8.jpg,279.562,
http://phd.epfl.ch,http://phd.epfl.ch/page-24845.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/files/content/sites/phd/files/shared/EDDH/Candidacy_exam_committee_EDDH.docx,,,418.0
http://phd.epfl.ch,http://phd.epfl.ch/page83699-en.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/page84883-fr.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/op/edit/edar/doctorants/devenir-doctorant,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/page83723-en.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/page-25089-fr.html,,,404.0
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/FinalYearAperitif2017/Aoeritif%20December%202017-4.jpg,2388.946,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/FinalYearAperitif2017/Aoeritif%20December%202017-3.jpg,2171.918,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/FinalYearAperitif2017/Aoeritif%20December%202017-2.jpg,1943.219,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/FinalYearAperitif2017/Aoeritif%20December%202017-1.jpg,2266.337,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Photos_December2016/pizza_talk_3.jpg,5328.755,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Photos_December2016/pizza_talk_2.jpg,4901.639,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Photos_December2016/pizza_talk_1.jpg,4878.325,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Photos_December2016/cookie_problem.jpg,5426.656,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1416.jpg,1672.931,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1421.jpg,1638.511,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1423.jpg,1414.915,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1424.jpg,1456.3410000000001,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1426.jpg,1443.951,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1427.jpg,1345.137,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1429.jpg,1337.987,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1430.jpg,1531.7060000000001,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1435.jpg,1300.243,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1440.jpg,1350.843,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Bowling_20141128/IMG_1441.jpg,1262.83,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_1.jpg,1410.457,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_3.jpg,1365.492,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_5.jpg,748.634,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_12.jpg,1561.724,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_13.jpg,1125.771,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_2.jpg,1284.116,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_4.jpg,520.874,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_9.jpg,1336.717,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_10.jpg,121.932,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_6.jpg,1389.173,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_11.jpg,1416.691,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_14.jpg,565.205,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_7.jpg,350.914,
http://phd.epfl.ch/,http://phd.epfl.ch/op/edit/page-103842.html/,https://documents.epfl.ch/users/d/di/dietler/www/Ap%C3%A9ro_20121107/Ape%CC%81ro_Nov2012_8.jpg,279.562,
http://phd.epfl.ch,http://phd.epfl.ch/page73038-en.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/op/edit/lang/fr/fileNotFound###file:/content/sites/phd/files/shared/edpo/EDPO Reglement-type français V3 bis.doc.pdf?uuid=default:cc040013-c539-4954-badc-cb8eaf654d52,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/page81363-en.html,,,404.0
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/SocialEvents/Q5_bis.png,27.521,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/SocialEvents/Q5.png,31.389,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/SocialEvents/Q5_comments.png,87.762,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/SocialEvents/Q4.png,48.676,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/SocialEvents/Q3.png,51.082,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/SocialEvents/Q1_comments.png,48.626,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/SocialEvents/Q2_comments.png,76.58500000000001,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/SocialEvents/Q1.png,42.64,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/SocialEvents/Q2.png,42.160000000000004,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/Cdoct118/cdoct118-q2.png,28.143,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/Cdoct118/cdoct118-q1.png,27.049,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/TA/ta_1.png,48.865,
http://phd.epfl.ch/,http://phd.epfl.ch/page-150961-en.html/,https://documents.epfl.ch/groups/e/ed/edce_representatives/www/surveys_results/TA/ta_2.png,60.248000000000005,
http://phd.epfl.ch,http://phd.epfl.ch/cms/lang/fr/pid/63470,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/page81923.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/page-110249-en.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/page84883-en.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/page78581-en.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/page84794-en.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/op/preview/page-63470-en.html,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/op/edit/lang/fr/fileNotFound###file:/content/sites/phd/files/shared/edpo/EDPO%20Reglement-type%20fran%C3%A7ais%20V3%20bis.doc.pdf?uuid=default:cc040013-c539-4954-badc-cb8eaf654d52,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/verification,,,404.0
http://phd.epfl.ch,http://phd.epfl.ch/edce/research/thesis-directors,,,404.0
